coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Liquity USD,LUSD,1.01,0.001,0.002,0.001,3788413,465309713,2022-03-17
Ethereum,USDT,1,0,0,0,44131404071,80205879149,2022-03-17
TerraUSD,UST,1,0,-0.001,0.002,566868455,15173316373,2022-03-17
Dai,DAI,1,0,0.001,0,233460109,9445061382,2022-03-17
TrueUSD,TUSD,1,0,0,-0.001,96692815,1413028225,2022-03-17
Neutrino USD,USDN,1,-0.001,-0.003,0.008,6067663,685994297,2022-03-17
Fei USD,FEI,1,0.002,0.003,0.009,6008234,560856126,2022-03-17
MAI,MIMATIC,1,0.002,0.003,0.008,5757297,269690665,2022-03-17
flexUSD,FLEXUSD,1,0,-0.005,0.002,312664,132659636,2022-03-17
Celo Dollar,CUSD,1,-0.001,0.005,0.004,2890566,82678314,2022-03-17
USD Coin,USDC,0.999739,-0.001,0,0,3569816487,52596068421,2022-03-17
Pax Dollar,USDP,0.99955,-0.001,0,-0.001,71689116,995452485,2022-03-17
Frax,FRAX,0.999541,0.001,0,-0.001,15926230,2873694989,2022-03-17
Binance USD,BUSD,0.999538,-0.001,-0.002,-0.001,3713594658,17812484632,2022-03-17
HUSD,HUSD,0.999448,-0.001,0,0,21491124,321832852,2022-03-17
Verus Coin,VRSC,0.999387,0.053,0.061,-0.122,20275.07,67318962,2022-03-17
mStable USD,MUSD,0.999305,0,0,0,100066,74706759,2022-03-17
Gemini Dollar,GUSD,0.999103,-0.001,-0.002,-0.001,2599754,370970338,2022-03-17
Alchemix USD,ALUSD,0.998794,0,0,0.001,142769,208931720,2022-03-17
Magic Internet Money,MIM,0.998598,0.001,0.001,-0.002,57656794,2782892167,2022-03-17
sUSD,SUSD,0.997496,0.001,0.004,-0.003,9442897,94221877,2022-03-17
Origin Dollar,OUSD,0.996761,-0.001,0.003,-0.005,384674,150877504,2022-03-17
JOE,JOE,0.982235,-0.011,0.112,-0.033,47914853,180295364,2022-03-17
USDX,USDX,0.972184,0.007,0.006,0.003,633490,148673012,2022-03-17
Crabada,CRA,0.957634,0.026,0.064,0.033,2393019,83266240,2022-03-17
Stratis,STRAX,0.94622,-0.003,0.013,-0.04,14410182,128080393,2022-03-17
MAPS,MAPS,0.944908,0.007,0.143,0.121,1481120,70633226,2022-03-17
Hive,HIVE,0.921978,0.003,0.063,0.008,27492473,342506941,2022-03-17
Regen,REGEN,0.873466,-0.002,0.013,-0.04,185688,107921529,2022-03-17
Telos,TLOS,0.858613,0.001,0.046,-0.059,3788138,222068806,2022-03-17
PLEX,PLEX,0.857492,0.024,0.05,0.142,14908002,210041737,2022-03-17
Ark,ARK,0.855048,0.008,0.024,-0.053,2191914,139681382,2022-03-17
Basic Attention Token,BAT,0.851143,0.002,0.035,0.241,207580189,1275120629,2022-03-17
Cardano,ADA,0.838396,0.002,0.018,-0.013,784436216,26891734979,2022-03-17
HUNT,HUNT,0.821299,-0.001,0.069,0.006,104480496,89930148,2022-03-17
Trust Wallet Token,TWT,0.81527,-0.006,0.13,0.109,26534917,284403138,2022-03-17
MiL.k Alliance,MLK,0.814028,-0.001,0,-0.004,9464173,181018689,2022-03-17
PlayDapp,PLA,0.812543,0.002,0.016,-0.028,21899896,295009942,2022-03-17
XRP,XRP,0.796926,0.006,0.016,0.038,3642947060,38342363497,2022-03-17
STEPN,GMT,0.761181,0.013,0.425,4.608,1358531219,456251258,2022-03-17
Algorand,ALGO,0.755697,0.013,0.034,-0.017,138333415,5010872275,2022-03-17
Pundi X,PUNDIX,0.745885,0,0.008,-0.049,4093358,192900544,2022-03-17
ICON,ICX,0.745261,0.002,-0.011,-0.102,27185040,547848667,2022-03-17
Audius,AUDIO,0.743362,0.001,0.01,-0.046,6575647,457745959,2022-03-17
SafePal,SFP,0.740146,-0.002,0.013,-0.018,8669227,80075567,2022-03-17
XSGD,XSGD,0.737151,0,0.003,0.002,2206838,180464893,2022-03-17
Loopring,LRC,0.715444,-0.001,0.007,-0.033,92431592,891618804,2022-03-17
IOTA,MIOTA,0.714113,0,0.003,-0.033,23553216,1985719860,2022-03-17
Pocket Network,POKT,0.697976,-0.003,0,-0.079,1086957,587728129,2022-03-17
PlatonCoin,PLTC,0.682181,-0.001,0.068,0.199,195574,74286948,2022-03-17
World Mobile Token,WMT,0.668572,0.001,0.022,-0.056,1060965,156579542,2022-03-17
TempleDAO,TEMPLE,0.641015,0.001,-0.036,-0.05,857448,69369413,2022-03-17
Keep Network,KEEP,0.623793,0.001,0.023,-0.066,1863025,342624992,2022-03-17
Coinmetro,XCM,0.613238,0.003,0.006,-0.024,36444.53,185482862,2022-03-17
SuperFarm,SUPER,0.612438,-0.002,0.012,-0.062,13815815,176123468,2022-03-17
Sapphire,SAPP,0.569767,0.005,0.012,-0.045,241909,478721909,2022-03-17
BakerySwap,BAKE,0.559948,0.002,0.021,-0.016,15467623,107743877,2022-03-17
WazirX,WRX,0.55677,-0.001,-0.002,-0.123,6363664,254078525,2022-03-17
Tribe,TRIBE,0.531679,-0.005,-0.021,-0.041,8080240,242034097,2022-03-17
Bitcoin Diamond,BCD,0.52929,0.015,0.029,-0.041,13758923,99286361,2022-03-17
0x,ZRX,0.51816,0.003,0.016,-0.01,24224308,439124277,2022-03-17
WOO Network,WOO,0.512092,0.004,0.04,0.018,49800358,489182316,2022-03-17
Power Ledger,POWR,0.511559,0.002,0.013,-0.04,31170583,219951909,2022-03-17
Ontology,ONT,0.509902,0.004,0.021,-0.027,26504330,446660094,2022-03-17
Syscoin,SYS,0.497339,0.019,0.062,-0.043,11664234,316225956,2022-03-17
Hathor,HTR,0.491681,0.001,0.028,-0.049,5298234,112171936,2022-03-17
Function X,FX,0.490287,-0.008,0.003,-0.025,2789713,230355668,2022-03-17
Wrapped Centrifuge,WCFG,0.481036,-0.003,-0.01,-0.043,1727756,95950030,2022-03-17
